,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
435,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K490XL-WH2
BD355GA",13,170.89,2221.57,49377.98,$,0.9245,
436,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-WH3
BD-445JA",30,194.97,5849.1,49377.98,$,0.894,
437,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K135XJ-SL2
BC90",169,67.77,11453.13,18721.43,$,0.877875,
438,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K130XJ-WH2
BD95JA",5,81.43,407.15,18721.43,$,0.870125,Product Model
439,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250XJ-WH2
BD192JA",30,105.51,3165.3,18721.43,$,0.896875,Product Model
440,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320XJ-WH2
BD232JA",10,111.25,1112.5,18721.43,$,0.892,Product Model
441,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400XJ-WH2
BD282JA",5,126.73,633.65,18721.43,$,0.8625,Product Model
442,SHXX-L211225.pdf,SHXX-L211225,28/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K580XJ-WH2,10,194.97,1949.7,18721.43,$,0.8385,Product Model
443,SHXX-J211222.pdf,SHXX-J211222,20/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K190X-WH2
BD142JA",79,92.9,7339.1,28251.23,$,0.900125,
444,SHXX-J211222.pdf,SHXX-J211222,20/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320X-WH2
BD-232JA",78,111.25,8677.5,28251.23,$,0.89025,Product Model
445,SHXX-J211222.pdf,SHXX-J211222,20/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-SL3
BD282JA",20,126.73,2534.6,28251.23,$,0.89975,
